,game,rating_normed
0,"...and then, we held hands.",5.064767098092422
1,10 Days in Africa,5.181324311733505
2,10 Days in Asia,4.973033903386997
3,10 Days in Europe,5.095008428082694
4,10 Days in the Americas,5.323584098666478
5,10 Days in the USA,5.255599498039195
6,10' to Kill,4.593969052307372
7,1000 Blank White Cards,4.919037388793878
8,11 nimmt!,5.096034284410194
9,12 Days,5.0633918372946125
10,12 Thieves,5.290460491520978
11,13 Days: The Cuban Missile Crisis,5.740231846098161
12,13 Dead End Drive,4.774327446762335
13,"13 Minutes: The Cuban Missile Crisis, 1962",5.001192197182569
14,1775: Rebellion,6.16559111525525
15,1812: The Invasion of Canada,5.342776897656034
16,1830: Railways & Robber Barons,6.487247721289394
17,1846: The Race for the Midwest,6.917812960827746
18,1856: Railroading in Upper Canada from 1856,5.7081906956789235
19,1870: Railroading across the Trans Mississippi from 1870,5.613379292099552
20,1889: History of Shikoku Railways,6.4307545943832345
21,18AL,5.623117009674849
22,1960: The Making of the President,5.828614074777976
23,1989: Dawn of Freedom,6.416785952315466
24,1st & Goal,5.165032733841664
25,2 de Mayo,5.673805999870697
26,20th Century,5.32153551553765
27,221B Baker Street: The Master Detective Game,4.7192581486151015
28,5 Second Rule,3.5623921273872767
29,5-Minute Dungeon,5.144900594670375
30,5-Minute Marvel,5.20620437104333
31,504,5.605888914462658
32,51st State,5.482797954256549
33,51st State: Master Set,6.095880684634549
34,6 nimmt!,5.191739965290262
35,7 Ages,5.104505807732511
36,7 Wonders,6.101773488503735
37,7 Wonders Duel,6.288231054903467
38,A Brief History of the World,5.6335115812564505
39,A Castle for All Seasons,5.400433540775607
40,A Dog's Life,3.964498839908883
41,A Fake Artist Goes to New York,5.59706723277173
42,A Feast for Odin,6.735709364916665
43,A Few Acres of Snow,5.693340800435273
44,A Fistful of Penguins,4.885970694967698
45,A Game of Thrones,5.664403461734344
46,A Game of Thrones Collectible Card Game,5.186208382997161
47,A Game of Thrones: Hand of the King,4.755924647450797
48,A Game of Thrones: The Board Game (Second Edition),5.8771947070988855
49,A Game of Thrones: The Card Game,5.210767370500336
50,A Game of Thrones: The Card Game (Second Edition),5.505803683225834
51,A House Divided: War Between the States 1861-65,5.808952632095791
52,A Study in Emerald,5.818384767142955
53,A Touch of Evil: The Supernatural Game,5.21356230134286
54,A Victory Lost: Crisis in Ukraine 1942-1943,5.597330368388842
55,A la carte,5.426013277438482
56,AT-43 Initiation Set: Operation Damocles,5.018292366844071
57,Abalone Classic,4.762826827578552
58,Abandon Ship,4.820679648114905
59,Above and Below,5.879387892933648
60,Abracada...What?,5.150089668439896
61,Abyss,5.636303982421635
62,Ace of Aces: Handy Rotary Series,5.290374149601234
63,Acquire,5.938610367215143
64,Activity,4.922949714437153
65,Ad Astra,5.625259660380861
66,Adios Amigos,5.160506532305443
67,Adrenaline,5.672239654479925
68,Advance to Boardwalk,4.337480158285715
69,Advanced Heroquest,5.805340729988119
70,Advanced Squad Leader,6.336536849985648
71,Advanced Squad Leader: Starter Kit #1,6.48711965940627
72,Advanced Squad Leader: Starter Kit #2,6.453135762396774
73,Advanced Squad Leader: Starter Kit #3,6.385018653375687
74,Advanced Third Reich,5.81368336811487
75,Adventure Land,5.455942188657203
76,Adventure Time Love Letter,5.17735644206497
77,Aeon's End,6.258333532566888
78,Aeon's End: Legacy,6.862976669694682
79,Aeon's End: The New Age,6.80372445244234
80,Aeon's End: War Eternal,6.621600380584568
81,Africa,5.02622735254595
82,Africana,5.169660120500832
83,Afrikan tähti,3.4449244028352526
84,After the Flood,5.545658187027207
85,Age of Conan: The Strategy Board Game,4.766336518347456
86,Age of Empires III: The Age of Discovery,6.006319369171431
87,Age of Industry,5.965214665344739
88,Age of Mythology: The Boardgame,4.995497598355909
89,Age of Renaissance,5.286128841006675
90,Age of Steam,6.08711473780497
91,Age of War,4.561120398272519
92,Agents of SMERSH,5.6767103506891194
93,Aggravation,3.731943289548423
94,Agora,4.34093549240563
95,Agricola,6.194250799019756
96,Agricola (Revised Edition),6.360075026483637
97,Agricola: All Creatures Big and Small,5.740986797933315
98,"Air, Land & Sea",6.314747574978241
99,Airlines Europe,5.718508374749801
100,Airships,5.1620593734354925
101,Akrotiri,5.911807211743033
102,Al Cabohne,4.5476161354479485
103,Aladdin's Dragons,5.645363755082959
104,Alcatraz: The Scapegoat,5.262821228916583
105,Alchemist,4.858961106982805
106,Alchemists,5.876212770631242
107,Alea Iacta Est,5.314309701731294
108,Alexander the Great,6.121307782292446
109,Alhambra,5.339581280368832
110,Alhambra: Big Box,5.957135454648876
111,Alhambra: The Card Game,4.7671252974741885
112,Alien Artifacts,5.273255353220514
113,Alien Frontiers,5.8160512069409664
114,Aliens,6.045066975948317
115,All Things Zombie: The Boardgame,4.294323025810363
116,Altiplano,6.146216965774392
117,Amazonas,4.797449749521151
118,Ambush!,6.2400136737034515
119,American Rails,6.025958003629318
120,Amerigo,5.889258304077727
121,Among the Stars,5.549359732191848
122,Amun-Re,5.851788581438685
123,Amyitis,5.487915207878947
124,Anachrony,6.339395689461655
125,Ancient Terrible Things,5.44264872410745
126,Andean Abyss,5.83637069260721
127,Android,5.488931451192721
128,Android: Infiltration,5.336334171305148
129,Android: Mainframe,4.806731624197261
130,Android: Netrunner,6.183584029886553
131,Andromeda,4.880426828768045
132,Anima: Shadow of Omega,4.202834595523805
133,Animal Upon Animal,5.714982238592026
134,Animals on Board,5.156447969140191
135,Animocrazy 豬事議會,4.517260417946048
136,Anomia,4.836203962976433
137,Antike,5.695846246512814
138,Antike Duellum,5.519811369103357
139,Antiquity,6.532628493850167
140,Apotheca,4.795770190383654
141,Apples to Apples,4.475056839307275
142,Apples to Apples Junior,3.815973695954863
143,Aqua Romana,5.180490329375862
