,Name,Game,BGG rating,Time,Players,Complexity,Ranking
0,"Warriors of God: The Wars of England & France, 1135-1453","<div class=""game""><a href=""https://boardgamegeek.com/boardgame/23679"">Warriors of God: The Wars of England & France, 1135-1453</a> </div> <br/><img src=""https://cf.geekdo-images.com/thumb/img/CEIvap8D58Ut2214pa00hRPjJsU=/fit-in/200x150/pic298212.jpg"" alt=Warriors of God: The Wars of England & France, 1135-1453"">",7.4,180 minutes,2 players,2.6,1361.0
1,Munchkin Bites!,"<div class=""game""><a href=""https://boardgamegeek.com/boardgame/12194"">Munchkin Bites!</a> </div> <br/><img src=""https://cf.geekdo-images.com/thumb/img/L-uOk8mo2Y3CVTPdDl9KbzFUwlQ=/fit-in/200x150/pic49542.jpg"" alt=Munchkin Bites!"">",6.0,90 minutes,3 to 6 players,1.8,3854.0
2,Snorta!,"<div class=""game""><a href=""https://boardgamegeek.com/boardgame/11231"">Snorta!</a> </div> <br/><img src=""https://cf.geekdo-images.com/thumb/img/WPd6M8kA4T44vI05y1N2qlstOG4=/fit-in/200x150/pic3737731.jpg"" alt=Snorta!"">",6.1,20 minutes,3 to 8 players,1.1,3798.0
3,Thebes: The Tomb Raiders,"<div class=""game""><a href=""https://boardgamegeek.com/boardgame/114387"">Thebes: The Tomb Raiders</a> </div> <br/><img src=""https://cf.geekdo-images.com/thumb/img/9lp2M3F_T60_oK-bGrCUyrv7PiM=/fit-in/200x150/pic1559393.jpg"" alt=Thebes: The Tomb Raiders"">",6.9,30 minutes,2 to 4 players,2.0,2388.0
4,Men at Work,"<div class=""game""><a href=""https://boardgamegeek.com/boardgame/261114"">Men at Work</a> </div> <br/><img src=""https://cf.geekdo-images.com/thumb/img/kAULM9CGmNbxk2ZOXK6Y2IF7pj4=/fit-in/200x150/pic4318462.jpg"" alt=Men at Work"">",7.4,30-45 minutes,2 to 5 players,1.1,1191.0
5,Pylos,"<div class=""game""><a href=""https://boardgamegeek.com/boardgame/1419"">Pylos</a> </div> <br/><img src=""https://cf.geekdo-images.com/thumb/img/qwLUn3N9imvadTLQslG7jaIV5w4=/fit-in/200x150/pic3488228.jpg"" alt=Pylos"">",6.3,10 minutes,2 players,2.0,2778.0
6,Clue FX,"<div class=""game""><a href=""https://boardgamegeek.com/boardgame/8069"">Clue FX</a> </div> <br/><img src=""https://cf.geekdo-images.com/thumb/img/TVj2-7x0fk1QpMXvyjDiZ9r4Zaw=/fit-in/200x150/pic238451.jpg"" alt=Clue FX"">",6.2,30 minutes,2 to 4 players,1.8,5006.0
7,Europe Engulfed: WWII European Theatre Block Game,"<div class=""game""><a href=""https://boardgamegeek.com/boardgame/6205"">Europe Engulfed: WWII European Theatre Block Game</a> </div> <br/><img src=""https://cf.geekdo-images.com/thumb/img/yittdDMHOEVlBIRnDDPK_OlPZ4Y=/fit-in/200x150/pic36736.jpg"" alt=Europe Engulfed: WWII European Theatre Block Game"">",7.5,720 minutes,2 to 3 players,3.8,1234.0
8,Gentes,"<div class=""game""><a href=""https://boardgamegeek.com/boardgame/217780"">Gentes</a> </div> <br/><img src=""https://cf.geekdo-images.com/thumb/img/Vmu01zOqG-g7Df8urfxf2-14DkU=/fit-in/200x150/pic3338929.jpg"" alt=Gentes"">",7.5,90 minutes,1 to 4 players,3.2,732.0
9,Fist of Dragonstones,"<div class=""game""><a href=""https://boardgamegeek.com/boardgame/4471"">Fist of Dragonstones</a> </div> <br/><img src=""https://cf.geekdo-images.com/thumb/img/v8gHLXzIyyIfNtpV54TLIAJNwiM=/fit-in/200x150/pic441579.jpg"" alt=Fist of Dragonstones"">",6.2,45 minutes,3 to 6 players,1.9,2968.0
10,Star Trek: Five-Year Mission,"<div class=""game""><a href=""https://boardgamegeek.com/boardgame/178613"">Star Trek: Five-Year Mission</a> </div> <br/><img src=""https://cf.geekdo-images.com/thumb/img/vOLGLitDb02oTVMiw5L_M-Mv9ok=/fit-in/200x150/pic2560621.jpg"" alt=Star Trek: Five-Year Mission"">",6.5,30-45 minutes,3 to 7 players,1.8,2462.0
11,Burgle Bros.,"<div class=""game""><a href=""https://boardgamegeek.com/boardgame/172081"">Burgle Bros.</a> </div> <br/><img src=""https://cf.geekdo-images.com/thumb/img/65D2PWIsWhlv67M-HS5lAJtfmfE=/fit-in/200x150/pic2439102.png"" alt=Burgle Bros."">",7.6,45-90 minutes,1 to 4 players,2.3,220.0
12,Ulm,"<div class=""game""><a href=""https://boardgamegeek.com/boardgame/191876"">Ulm</a> </div> <br/><img src=""https://cf.geekdo-images.com/thumb/img/Ta7QDno-74jdZ4Jm4-UtJNERBqg=/fit-in/200x150/pic3193554.jpg"" alt=Ulm"">",7.1,45-75 minutes,2 to 4 players,2.7,982.0
13,Pathfinder Adventure Card Game: Skull & Shackles – Base Set,"<div class=""game""><a href=""https://boardgamegeek.com/boardgame/151007"">Pathfinder Adventure Card Game: Skull & Shackles – Base Set</a> </div> <br/><img src=""https://cf.geekdo-images.com/thumb/img/d-9JX5zIThE7JzFJRVrWykp1G3c=/fit-in/200x150/pic2268287.jpg"" alt=Pathfinder Adventure Card Game: Skull & Shackles – Base Set"">",7.3,90 minutes,1 to 4 players,3.0,850.0
14,Tiki Topple,"<div class=""game""><a href=""https://boardgamegeek.com/boardgame/34373"">Tiki Topple</a> </div> <br/><img src=""https://cf.geekdo-images.com/thumb/img/4XDU02a7eZ116SVus9xgvOPhtoM=/fit-in/200x150/pic3356208.jpg"" alt=Tiki Topple"">",6.5,20 minutes,2 to 4 players,1.3,2195.0
